w(cm-1), IM(w)_xx, IM(w)_yy, IM(w)_zz, IM(w)_xy, IM(w)_xz, IM(w)_yz
46.6077160044, 3.94987780305e-06, 7.18204519561e-05, 9.17832667578e-05, 0.0, 0.0, 0.0
46.8361852005, 3.97524480302e-06, 7.24172887409e-05, 9.2635714125e-05, 0.0, 0.0, 0.0
47.0646543966, 4.00072594771e-06, 7.30192765053e-05, 9.34969343652e-05, 0.0, 0.0, 0.0
47.2931235927, 4.02632260323e-06, 7.36264924727e-05, 9.43670679671e-05, 0.0, 0.0, 0.0
47.5215927888, 4.05203615492e-06, 7.42390152666e-05, 9.524625813e-05, 0.0, 0.0, 0.0
47.7500619849, 4.07786800769e-06, 7.48569249422e-05, 9.61346508279e-05, 0.0, 0.0, 0.0
47.978531181, 4.10381958642e-06, 7.5480303019e-05, 9.70323948754e-05, 0.0, 0.0, 0.0
48.2070003771, 4.12989233632e-06, 7.61092325137e-05, 9.79396419957e-05, 0.0, 0.0, 0.0
48.4354695732, 4.15608772328e-06, 7.67437979748e-05, 9.88565468899e-05, 0.0, 0.0, 0.0
48.6639387693, 4.18240723427e-06, 7.73840855174e-05, 9.97832673088e-05, 0.0, 0.0, 0.0
48.8924079654, 4.20885237776e-06, 7.80301828594e-05, 0.000100719964126, 0.0, 0.0, 0.0
49.1208771615, 4.23542468409e-06, 7.86821793581e-05, 0.000101666801416, 0.0, 0.0, 0.0
49.3493463576, 4.26212570588e-06, 7.9340166049e-05, 0.000102623946527, 0.0, 0.0, 0.0
49.5778155537, 4.28895701848e-06, 8.0004235684e-05, 0.000103591570166, 0.0, 0.0, 0.0
49.8062847498, 4.31592022039e-06, 8.06744827717e-05, 0.00010456984648, 0.0, 0.0, 0.0
50.0347539459, 4.34301693368e-06, 8.13510036189e-05, 0.000105558953136, 0.0, 0.0, 0.0
50.263223142, 4.37024880446e-06, 8.20338963725e-05, 0.000106559071415, 0.0, 0.0, 0.0
50.4916923381, 4.39761750333e-06, 8.27232610631e-05, 0.000107570386297, 0.0, 0.0, 0.0
50.7201615342, 4.42512472584e-06, 8.34191996497e-05, 0.000108593086556, 0.0, 0.0, 0.0
